Case ID,cluster,Sequence
5187991,0-beforeDrift1_cutwindow0,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5187991,0-beforeDrift1_cutwindow20,phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_asked_additional_information phase_additional_information_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5239571,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_taken phase_decision_sent
5239571,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_taken phase_decision_sent
5239571,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_taken phase_decision_sent
5305610,1-afterDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_perspective_submitted phase_decision_ready phase_decision_taken phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_perspective_submitted phase_decision_ready phase_decision_taken
5305610,1-afterDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_perspective_submitted phase_decision_ready phase_decision_taken phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_perspective_submitted phase_decision_ready phase_decision_taken
5305610,1-afterDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_perspective_submitted phase_decision_ready phase_decision_taken phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_perspective_submitted phase_decision_ready phase_decision_taken
5358407,1-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent
5358407,1-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent
5358407,1-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_concept_draft_decision_ready phase_draft_decision_ready phase_draft_decision_made phase_decision_ready phase_decision_taken phase_decision_sent
5463633,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5463633,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5463633,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5463665,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5463665,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5463665,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5467015,0-beforeDrift1_cutwindow0,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5467015,0-beforeDrift1_cutwindow20,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
5467015,0-beforeDrift1_cutwindow50,phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent phase_application_received phase_application_receptive phase_advice_known phase_decision_ready phase_decision_taken phase_decision_sent
