,Case ID,Sequence,cluster
0,INC0000045,"New,priority:3 Resolved,priority:3 Resolved,priority:3 Closed,priority:3",1
1,INC0000047,"New,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 AwaitingUserInfo,priority:3 Resolved,priority:3 Closed,priority:3",1
2,INC0000057,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
3,INC0000060,"New,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
4,INC0000063,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
5,INC0000065,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 AwaitingUserInfo,priority:3 Resolved,priority:3 Closed,priority:3",1
6,INC0000066,"New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
7,INC0000067,"New,priority:3 New,priority:3 New,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
8,INC0000070,"New,priority:3 Active,priority:3 Active,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 Resolved,priority:3 Closed,priority:3",1
9,INC0000071,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 Resolved,priority:3 Closed,priority:3",1
10,INC0000074,"Active,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 Resolved,priority:3 Closed,priority:3",1
11,INC0000077,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
12,INC0000079,"New,priority:3 New,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
13,INC0000080,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
14,INC0000083,"New,priority:4 New,priority:4 New,priority:4 Resolved,priority:4 Closed,priority:4",1
15,INC0000084,"Active,priority:4 AwaitingUserInfo,priority:4 AwaitingUserInfo,priority:4 AwaitingUserInfo,priority:4 Resolved,priority:4 Closed,priority:4",1
16,INC0000085,"New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
17,INC0000086,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
18,INC0000089,"Active,priority:4 Active,priority:4 Active,priority:4 Active,priority:4 Active,priority:4 AwaitingProblem,priority:4 AwaitingProblem,priority:4 AwaitingProblem,priority:4 Resolved,priority:4 Closed,priority:4",1
19,INC0000093,"Resolved,priority:3 Closed,priority:3",1
20,INC0000094,"Active,priority:4 AwaitingUserInfo,priority:4 AwaitingUserInfo,priority:4 Resolved,priority:4 Closed,priority:4",1
21,INC0000099,"New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
22,INC0000101,"New,priority:4 New,priority:4 Active,priority:4 Active,priority:4 Active,priority:4 Resolved,priority:4 Closed,priority:4",1
23,INC0000102,"New,priority:3 New,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 Active,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 AwaitingUserInfo,priority:3 Resolved,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
24,INC0000104,"New,priority:3 New,priority:2 Active,priority:2 Active,priority:2 Active,priority:2 Resolved,priority:2 Closed,priority:2",1
25,INC0000105,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
26,INC0000112,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
27,INC0000113,"New,priority:3 Active,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
28,INC0000115,"New,priority:3 New,priority:3 New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
29,INC0000116,"New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
30,INC0000119,"New,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
31,INC0000122,"New,priority:3 New,priority:3 New,priority:3 Resolved,priority:3 Closed,priority:3",1
32,INC0000125,"New,priority:3 New,priority:3 New,priority:3 Active,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
33,INC0000128,"New,priority:3 New,priority:3 New,priority:3 Active,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
34,INC0000130,"New,priority:3 New,priority:3 Active,priority:3 Active,priority:3 Resolved,priority:3 Closed,priority:3",1
